name,abb,CAS,synonyms,tags
"1,2-polybutylene",PB,9003-28-5,"Poly(butene-1), poly(but-1-ene), poly(1-ethylethylene), Poly(ethyl ethylene)",Polyolefins
Acrylic ester rubber,ACM,,ANM,Polyacrylates
acrylonitrile-butadiene-acrylate copolymer,PAEK,,ABA,"Polyacrylates, Polyacrylonitriles, Polyolefins"
acrylonitrile-butadiene elastomer,NBR,9003-18-3; 9005-98-5,"GR-N rubber, Acrylonitrile-butadiene rubber, BUNA-N, Nitrile rubber","Other copolymers, Polyacrylonitriles, Polydienes & polydiene copolymers"
alkyd resin,AK,63148-69-6,,"Aromatic, Other resins"
Bisphenol-A diglycidyl ether epoxy resin,DGEBA,,"Epoxy resin, Phenoxy resin, BADGE","Aromatic, Epoxy resins"
Bisphenol-F diglycidyl ether epoxy resin,DGEBF,,Poly(Bisphenol F-co-epichlorohydrin),"Aromatic, Epoxy resins, Polyamides"
Bisphenol A Polysulfone,"PSU, PSF",,"Poly{[bis(4-chlorophenyl)sulfone]-alt-[bisphenol-A]}, Bisphenol A-bis(chlorophenyl) sulfone copolymer, Udel ® P1700 & P3500",Aromatic
bromobutyl rubber,BIIR,68441-14-5,,"Halogenated, Polydienes & polydiene copolymers"
Carbon fiber reinforced carbon,CFC,,,Others
Carbon reinforced resin,CFR,,,Others
carboxylated ethylene copolymer,CEC,187410-30-6; 9078-96-0,,Other copolymers
cellulose acetate propionate,CAP,9004-39-1,,"Cellulose derivatives, Polysaccarides"
cellulose butyrate,CB,9015-12-7,,"Cellulose derivatives, Polysaccarides"
cellulose nitrate,CN,9004-70-0,Nitrocellulose,"Cellulose derivatives, Polysaccarides"
Cellulose proprionate,CP,,Cellulose esters,"Cellulose derivatives, Polysaccarides"
Chlorinated polypropylene,PPC,,,"Halogenated, Polyolefins"
chlorobutyl rubber,CIIR,68081-82-3,,"Halogenated, Polydienes & polydiene copolymers"
"cis-1,4-polybutadiene","PBD, cis",,,Polydienes & polydiene copolymers
cis-polyisoprene,"PIP, cis",,,Polydienes & polydiene copolymers
epoxy resin,EP,25036-25-3; 25068-38-6; 55818-57-0; 61788-97-4; 90598-46-2; 112-24-3,,Epoxy resins
ethene-vinyl acetate-vinyl alcohol terpolymers,,,,"Other copolymers, Polyolefins, Polyvinyl ethers, -esters  & derivatives"
ethylene-n-butyl acrylate-carbon monoxide terpolymer,EBCO,,,"Other copolymers, Polyacrylates, Polycarbonates, Polyolefins"
ethylene-propylene diene terpolymer,EPDM,25038-36-2; 308064-28-0,Ethene-propene-diene,"Other copolymers, Polyolefins"
ethylene propylene rubber,EPR,9010-79-1; 61789-00-2,EPM,Other copolymers
Expandable polystyrene,EPS,,,"Aromatic, Polystyrenes"
fluorosilicone elastomers,,,,"Halogenated, Polysiloxanes"
furan resin,FR,25054-13-1,FF,Other resins
glass fibre reinforced polymers,FRP,,"fibreglass, fiberglass, glass fibre, glass fiber",Others
Head-to-tail polydodecylthiophene,HT-PDDT,,,Others
high density polyethylene,HDPE,25213-02-9 (hexene); 26221-73.8 (octene),PEHD,Polyolefins
High impact polystyrene,HIPS,,,"Aromatic, Polystyrenes"
isobutylene-isoprene rubber,IIR,9010-85-9; 308063-42-5,"GR-I, Butyl rubber","Other copolymers, Polydienes & polydiene copolymers"
linear low density polyethylene,LLDPE,26221-73-8 (octene); 25087-34-7 (butene); 25213-02-9,PELLD,Polyolefins
liquid crystalline polymers,LCP,31072-56-7 (Xydar); 144114-03-4 (Vectra C),liquid crystal polymers,Aromatic
low density polyethylene,LDPE,9002-88-4,"PE-LD, PELD",Polyolefins
Medium-density polyethylene,PEMD,,,Polyolefins
melamine-formaldehyde resin,MF,9003-08-1,melamine,Other resins
melamine-phenolic resin,MP,35484-57-2,"MPF, Melamine -phenol-formaldehyde resin, melamine",Other resins
Nylon 10,PA10,,"Poly(decano-10-lactam), Poly(ω-decanamide)",Polyamides
Nylon 10-10,PA10-10,,"Poly(decamethylene sebacamide), Polyamide 10-10",Polyamides
"Nylon 6,9",PA6-9,,"Poly(hexamethylene azelamide), Polyamide 6-9",Polyamides
Nylon 8,PA8,,"Poly(8-aminooctanoic acid), Polycapryllactam, Poly(octano-8-lactam)",Polyamides
Olefin-CO copolymers,,,,"Other copolymers, Polyolefins"
perfluorinated ionomer,PFI,31175-20-9; 66796-30-3,,"Halogenated, Others"
perfluoroalkoxy resin,PFA,26655-00-5,,Other resins
phenol-formaldehyde resin,"PF, PFR",9003-35-4; 25104-55-6,"Resols, Novolacs, Cresol-formaldehyde resin (CF), bakelite",Other resins
phthalonitrile resin,PNR,,,"Aromatic, Other resins"
Poly(1-bromo-1-butenylene),,,,"Halogenated, Polydienes & polydiene copolymers"
Poly(1-ethyl-1-methylethylene),,,Poly(2-ethyl-propylene),Polyolefins
"Poly(1-ethyl-1,4-butadiene)",,,,Polydienes & polydiene copolymers
Poly(1-pentenylene),"PCP, PPT, CPR",,"Polypentenamer, Polycyclopentene",Polydienes & polydiene copolymers
"Poly(1,2,4-Triazole)",,,,Others
"Poly(1,3-propylene adipate)",,,,Polyesters
"Poly(1,3-propylene succinate)",,,Poly(trimethylene succinate),Polyesters
"Poly(1,4-butylene sebacate)",,,Poly(tetramethylene sebacate),Polyesters
"Poly(1,4-butylene succinate)",,,Poly(tetramethylene succinate),Polyesters
"Poly(1,4-pentadiene)",,,,Polydienes & polydiene copolymers
"poly(1,4-phenylene vinylene)",PPV,26009-24-5,Polyphenylenvinylen,"Aromatic, Polyphenylenes"
"poly(1,4-phenylene)",PPP,25190-62-9,,"Aromatic, Polyphenylenes"
"Poly(1,6-hexylene sebacate)",,,Poly(hexamethylene sebacate),Polyesters
"Poly(1,6-hexylene succinate)",,,,Polyesters
Poly(2-chloroethyl methacrylate),,,,"Halogenated, Polymethacrylates"
Poly(2-chlorostyrene),,,,"Aromatic, Halogenated, Polystyrenes"
Poly(2-cyanoethyl acrylate),,,,Polyacrylates
Poly(2-ethylhexyl acrylate),,,,Polyacrylates
Poly(2-methoxystyrene),,,,"Aromatic, Polystyrenes"
Poly(2-methylstyrene),,,,"Aromatic, Polystyrenes"
Poly(2-phenylethyl methacrylate),,,,"Aromatic, Polymethacrylates"
"Poly(2,2,3,3-tetrafluoropropyl acrylate)",,,,"Halogenated, Polyacrylates"
"Poly(2,2,3,3-tetrafluoropropyl methacrylate)",,,,"Halogenated, Polymethacrylates"
"Poly(2,3-dimethylbutadiene)",,,,Polydienes & polydiene copolymers
"Poly(2,5-difluorostyrene)",,,"Poly(1,4-difluoro-2-vinylbenzene)","Aromatic, Halogenated, Polystyrenes"
"Poly(2,5-Thienylene Vinylene)",,,,Others
"Poly(2,6-Pyridinediylvinylene)",,,,Others
"Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)",,,,"Aromatic, Halogenated, Polycarbonates"
Poly(3-butoxypropylene oxide),,,,Polyglycols
Poly(3-chlorostyrene),,,,"Aromatic, Halogenated, Polystyrenes"
poly(3-hydroxybutyrate),PHB,26063-00-3; 26744-04-7; 31759-58-7,,Polyesters
Poly(3-methoxypropylene oxide),,,,Polyglycols
Poly(3-methylstyrene),,,,"Aromatic, Polystyrenes"
Poly(4-bromostyrene),,,,"Aromatic, Halogenated, Polystyrenes"
Poly(4-chlorophenyl acrylate),,,,"Aromatic, Halogenated, Polyacrylates"
Poly(4-chlorostyrene),,,,"Aromatic, Halogenated, Polystyrenes"
